ID,In VCF?,Li,Na,Mg,P,S,K,Ca,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd
SCU_1,n,0.036778625,2656.247776,634.2339046,14.57748049,64.87263908,424.5287103,603.8794234,20.72832909,330.839808,0.240878444,2.364866778,1.440879112,7.653519176,0.664677299,1.416605435,0.165906243,6.218823003,0.035187174,0.097397285
SCU_2,n,0.041473579,2867.660712,665.0084844,16.63824033,93.43175597,438.0258411,669.5560879,20.55515569,343.8528587,0.209443201,2.475785971,1.924688356,15.84803594,0.740136917,1.646126507,0.15753868,6.537199285,0.037800372,0.089408924
SCU_3,n,0.038484165,2949.481538,671.7790185,13.90662898,93.03973837,454.1420976,667.0435771,21.51063724,362.9028469,0.242682178,2.544400829,1.524984724,12.42073345,0.762160897,1.407898499,0.167413347,6.561619073,0.040034775,0.087395826
SCU_14,Avg,0.038912123,2824.463342,657.0071358,15.04078327,83.78137781,438.898883,646.8263628,20.93137401,345.8651712,0.231001274,2.461684526,1.630184064,11.97409619,0.722325038,1.490210147,0.163619423,6.439213787,0.037674107,0.091400678
SCU_15,Avg,0.038912123,2824.463342,657.0071358,15.04078327,83.78137781,438.898883,646.8263628,20.93137401,345.8651712,0.231001274,2.461684526,1.630184064,11.97409619,0.722325038,1.490210147,0.163619423,6.439213787,0.037674107,0.091400678
SCU_16,Avg,0.038912123,2824.463342,657.0071358,15.04078327,83.78137781,438.898883,646.8263628,20.93137401,345.8651712,0.231001274,2.461684526,1.630184064,11.97409619,0.722325038,1.490210147,0.163619423,6.439213787,0.037674107,0.091400678
SCU_19,Avg,0.038912123,2824.463342,657.0071358,15.04078327,83.78137781,438.898883,646.8263628,20.93137401,345.8651712,0.231001274,2.461684526,1.630184064,11.97409619,0.722325038,1.490210147,0.163619423,6.439213787,0.037674107,0.091400678
SERD1,n,0.1,5.6,361.6,57.8,-8.2,451.6,913.6,83.4,55.4,2.2,32.7,5.9,2.9,0.1,0,0.2,2.6,0,0.1
SKE_SKE_1,n,0.043309645,2430.740152,413.7090566,226.3317349,300.3942118,380.4339162,965.8832579,23.09475234,123.5690405,0.152312189,0.311285495,1.225072992,12.87958855,2.319811066,0.126763357,0.160441056,8.562264769,0.055194085,0.088426775
SKE_SKE_2,n,0.050086859,2607.584663,433.1547478,170.1842717,266.7139801,404.8750242,1004.523685,25.47061465,127.3582513,0.167069289,0.313003159,1.096303506,6.911753128,1.580807425,0.139355314,0.167426324,9.122724845,0.05909753,0.063140852
SKE_SKE_3,n,0.042828674,2299.299029,419.5260297,198.1869437,272.8219705,379.563152,1012.638571,25.0409951,125.0448287,0.165969838,0.315855117,1.091659288,8.850180092,1.851708148,0.181371989,0.161799541,8.974026502,0.058288618,0.065129151
SKF_1,n,0.120891966,7511.307336,1129.488702,122.3656801,1372.97094,603.0282586,528.1337305,103.4045045,509.5931557,0.40374232,3.487448624,12.87477722,81.52172188,1.774640413,0.685298615,0.394426674,5.248123441,0.163985604,0.192910164
SKF_2,y,0.129836926,7923.197607,1140.479599,99.6047399,1114.114216,773.7783284,506.1000949,100.4375057,519.4584,0.407835497,3.446721821,12.51824467,63.27434748,1.443220498,0.657605309,0.41847558,4.996128635,0.166028029,0.169274436
SKF_3,y,0.127183903,8068.986511,1187.403939,99.72866232,1135.010457,623.1778768,513.5401132,102.1564847,523.5873681,0.42290594,3.498120714,13.13872869,67.67896576,1.465955602,0.587626724,0.42614341,5.230238637,0.168714584,0.179832473
SKEF_a_1,n,0.158478827,8386.017361,1048.038307,95.55553037,1800.671643,669.7322768,458.5938846,46.68756381,507.7382991,0.243548578,1.992847901,12.29442004,53.85508004,2.288907788,0.457930177,0.414370713,4.749904189,0.101056128,0.148745245
SKEF_a_2,n,0.155484921,8554.929822,1088.714422,100.5184332,1741.197403,618.3097728,415.0192626,45.77209708,487.5326198,0.232086821,1.945340102,12.27810527,54.14361215,2.329588334,0.368156444,0.404752454,4.587597462,0.100097939,0.146140467
SKEF_a_3,n,0.168253591,8660.960275,1133.986598,80.93574215,1467.615352,771.7563682,418.405328,46.75764204,517.2387633,0.253134417,1.9703774,12.00563381,42.3393669,1.768598156,0.640749242,0.423748548,4.841872562,0.100272424,0.123394403
SKF_5,Avg,0.143355022,8184.233152,1121.351928,99.78479801,1438.596669,676.6304803,473.2987356,74.20263297,510.858101,0.327208929,2.723476094,12.51831828,60.46884904,1.845151799,0.566227752,0.413652897,4.942310821,0.133359118,0.160049531
SKF_9,Avg,0.143355022,8184.233152,1121.351928,99.78479801,1438.596669,676.6304803,473.2987356,74.20263297,510.858101,0.327208929,2.723476094,12.51831828,60.46884904,1.845151799,0.566227752,0.413652897,4.942310821,0.133359118,0.160049531
SKI_5,y,0.077883387,4904.684648,486.8968755,61.48000961,566.6129768,296.3077426,347.8113241,15.30904975,100.445815,0.232130753,0.455128849,0.858756903,1.286127622,1.226739377,2.005862265,0.05041779,5.191199531,0.10262117,0.004646418
SKI_5_2,n,0.071769004,5025.013967,503.2039732,72.45851043,597.6197833,298.7397171,405.330384,15.49223371,91.79508739,0.225079146,0.469071017,0.902012733,15.54133288,1.40665397,1.599433154,0.043246707,5.166688432,0.104362258,0.008877247
SKI_5_3,n,0.06377245,4023.360173,411.079081,77.09240644,527.45533,242.1012037,308.9143548,13.67801994,60.29655378,0.201420602,0.416892205,0.922987503,5.192802488,1.577597855,1.545535833,0.040544435,4.340055663,0.088397235,0.006847888
SKI_4,Avg,0.071141614,4651.019596,467.0599766,70.34364216,563.89603,279.0495545,354.0186876,14.82643447,84.17915206,0.2195435,0.44703069,0.894585713,7.340087663,1.403663734,1.716943751,0.044736311,4.899314542,0.098460221,0.006790518
SKN_1,y,0.147435856,1958.885487,390.929443,24.61898196,149.6042494,205.2720345,522.8320016,20.20816367,81.70193329,0.161236059,0.942670696,5.101897895,104.0181296,0.53341381,0.72457622,0.079427071,4.103808013,0.050282988,0.183240794
SKN_2,y,0.140449209,1973.875442,391.0362209,21.8496043,132.4952163,203.7080506,544.2872508,20.62405915,53.25546096,0.156607309,0.881128366,4.951748059,61.01690764,0.409592262,0.577337693,0.066346751,4.020713401,0.050507636,0.144262859
SKIN_2b,n,0.129070423,1862.050734,372.4447819,26.62962685,131.7700187,196.4768921,512.2163691,20.08115877,48.70811258,0.158854541,0.905142075,5.086813444,97.11315679,0.529147015,0.835080298,0.071419223,4.050424409,0.051665271,0.185270086
SKN_5,Avg,0.138985163,1931.603888,384.8034819,24.36607104,137.9564948,201.8189924,526.4452072,20.30446053,61.22183561,0.158899303,0.909647046,5.046819799,87.38273134,0.490717696,0.712331404,0.072397682,4.058315274,0.050818632,0.17092458
SKN_8,Avg,0.138985163,1931.603888,384.8034819,24.36607104,137.9564948,201.8189924,526.4452072,20.30446053,61.22183561,0.158899303,0.909647046,5.046819799,87.38273134,0.490717696,0.712331404,0.072397682,4.058315274,0.050818632,0.17092458
SPEY_1,n,0,497.4,687.8,42.3,244.4,418.7,882.5,568.8,668.6,1.1,3.7,7.9,32.7,0.3,0.1,0.1,6.2,0.3,0.8
SPEY_2,n,0,513.1,572.9,32.6,487.5,466.1,881.3,664.1,346.7,0.9,4.9,6.1,42.9,0.3,0.1,0.1,4.9,0.3,0.9
SPEY_3,n,0,429.1,539.1,19.5,381.2,440.6,638.9,98.1,811.7,0.1,3.1,6.8,19,0.3,0.1,0.3,4,0.2,0.4
SPU_1,n,0.089747893,6024.076257,577.2776122,99.92006008,386.561444,534.2722562,488.6858524,31.30432579,424.471868,0.07114382,2.042524282,12.85001864,67.91166033,2.39357173,0.749599074,0.328957383,4.178167322,0.23733483,0.138154877
SPU_2,n,0.09871822,6274.167246,585.3897488,83.13253573,374.9902274,547.5259232,477.5625598,32.02092117,430.5601119,0.076734956,2.032701571,12.52985862,49.87862008,1.934385566,0.52269429,0.343846069,4.291522082,0.245596397,0.115900581
SPU_3,n,0.101666781,6117.278268,565.9595359,71.89623722,347.8832534,542.7675342,514.1825832,31.38589651,432.0551065,0.076565701,1.953530242,12.0613936,42.93749543,1.663788931,0.633423515,0.345599073,4.332739291,0.248115328,0.10440005
SPU_6,Avg,0.096710965,6138.507257,576.2089656,84.98294434,369.8116416,541.5219045,493.4769985,31.57038116,429.0290288,0.074814826,2.009585365,12.48042362,53.57592528,1.997248742,0.63523896,0.339467508,4.267476232,0.243682185,0.119485169
